remarks_clean,bedrooms_true,bathrooms_true,price_true,sqft_true
"An internationally well known architect has designed this modern ""holiday temple"", taking full advantage of a rare land plot. Built on a west facing peninsula of around 14.000sqm, the villa is located in the wider area of Porto Heli in Argolida, neighboring some of the most prestige Greek villas & estates. The main house offers 5 double bedrooms, with an additional 2 guest houses. A total of 14 guests can be accommodated at the villa, enjoying high levels of comfort, while being discreetly looked after by a permanent staff of 2. Yacht & boat mooring with associated services is available in the area.In summary, White House is the ideal Mediterranean retreat for your summer vacation. A breathtaking open plan living space is elevated to create the prime public space overlooking the swimming pool and the sea. Glass sliding panels separate the internal from the external areas creating a unified space, enjoying 180 degrees of unobstructed sea views and the magnificent sunset. A series of external shaded sitting areas, a salted water infinity pool, a grassed garden, bbq, a private tennis court and the magnificent beach next to the villa, create a luxury exclusive retreat for guests that pursue relaxation in a private environment. Accommodation: Main House: The ground level consists of an entrance hall, a fully equipped kitchen, guest WC, open plan living area with fireplace and dining area with large windows that open up to the garden and finally one master bedroom with large en-suite shower and bathtub bathroom, that opens up to shaded terrace. The lower level consists of onemasterbedroom with en-suite shower and bathtub bathroom, with garden view. One double bedroom with en-suite shower bathroom and a small living area, also with garden view. Two double bedrooms with en-suite shower bathrooms, that are ideal for teenagers or staff accommodation. There is also an auxiliary kitchen on this level. Guest House 1: An independent guest house with one double bedroom with shower bathroom and living area as well as a small kitchenette, that opens up to garden. Guesthouse 2: An independent guest house with one double bedroom with shower bathroom and separate living area and kitchenette, that opens up to shaded terrace.",,,,
"Welcome to a rare duplex opportunity offering flexibility, space, and long-term potential. Situated on an expansive lot, this property features two separate living units ideal for investors, multi-generational living, or owner-occupants seeking rental income.



Each unit offers generous bedroom counts and functional layouts, providing versatility for a variety of living arrangements. The property sits on a large parcel with ample outdoor space, presenting potential for future enhancements or reconfiguration, subject to buyer verification.



With strong rental demand in the area, this property offers an attractive combination of land value, income potential, and upside. Whether youre looking to live in one unit and rent the other, add to your investment portfolio, or explore redevelopment possibilities, this is a compelling opportunity.



Buyer to verify all information including square footage, unit count, zoning, and permitted uses.",,,,
"Refined coastal living becomes your everyday reality in this beautifully updated and meticulously curated home, nestled in the heart of one of Hermosa Beachs most vibrant and sought-after communities. This sleek one-bedroom residence blends modern sophistication with effortless beachside comfort.



Ideally positioned just steps from the scenic Greenbelt, one block from all that Pier Avenue offers, and moments from the sand, this home offers seamless access to acclaimed restaurants, boutique shopping, cafs, and beloved annual beach events. With a high walk score, secure building access, and close proximity to the Hermosa Pier, youre perfectly situated to enjoy the areas most celebrated coastal amenitiesfrom high-end grocery options and organic eateries to marquee events like the Beach Life Festival and world-famous volleyball tournaments.



Set around a lush, tree-filled courtyard featuring a variety of mature trees, a bright lemon tree, vibrant landscaping, and frequent hummingbird visits, the community provides a peaceful retreat rarely found along the coast. Amenities include a heated pool, spa, and recreation areaideal for both relaxation and social gatherings.



Inside, the residence has been thoughtfully refreshed. Nearly every surface has been newly painted, while double-pane windows and sliding doors enhance comfort and quiet. Custom interior and closet doors, engineered wood flooring, updated fixtures, and well-designed storage add cohesion and style. 



Sun-filled, west-facing windows illuminate the open concept layout, and the homes footprintnearly 100 square feet larger than comparable unitscreates a notably more spacious living experience. Including the oversized bedroom that easily accommodates a king-sized bed with additional space for a home office, reading nook, or creative area. The generous, uniquely shaped balcony extends the living space. It provides a view of the Greenbelt and the central courtyard and has room for a seating setup and a BBQ, bringing the breeze indoors. 



Clean, bright, and move-in ready, this exceptional home offers an elevated beachside lifestyleideal for first-time buyers, those seeking a refined coastal retreat, or pet owners who value green spaces and walkability.",,,,100
"Welcome to ""Verdugo Villa""  a charming 2-bedroom, 3-bathroom condo situated in one of Burbank's most walkable and vibrant neighborhoods. Step inside to discover an open, cozy floor plan bathed in natural light and featuring soaring vaulted ceilings. Take in the kitchen with its ceramic tile, double-wall ovens, an overhead microwave, and a stove cooktop  all within view of the spacious living room. A convenient guest half-bath adds a practical touch for entertaining. Storage is plentiful throughout, with a walk-in closet in the primary bedroom, extra closet space behind the stairs and in the hallway, and an in-unit laundry closet for added ease.  The spacious primary bath features a large vanity with generous counter space, while ceramic tile in all the right places keeps things clean and classic. And then there's the location  truly unbeatable. Walk to Downtown Burbank's restaurants, shops, movie theater, post office, bank, and mall. Commuting is a breeze with the Burbank Metrolink station and Bob Hope Airport nearby, plus easy access to major LA destinations and the iconic production studios that make this city legendary. Oh  and one lucky resident of the secondary bedroom gets a secret, hidden view of Hogwarts Castle at Universal Studios Hollywood (only a few minutes away). This is Burbank living at its finest. Don't miss your chance to call it home!",2,3,,
"REDUCED-REDUCED  Welcome to this beautiful remodeled 3-bedroom, 2-bath home located in West Covina neighborhood. Close to the West Covina Parkway Mall, restaurants, and parks. The kitchen has been completely removed. It includes quartz countertops, custom cabinets, stainless steel appliances, and the house features fresh paint, recessed lighting, and multiple new windows throughout. Central HAVC. There is a brick fireplace with original exposed wooden beams in the family room. The property has a detached 2-car garage and a driveway that also accommodates two vehicles. This home combines vintage details with modern updates in an area regarded as one of West Covina's most desirable neighborhoods. Dont miss your chance to own a piece of West Covinas rich architectural heritage site, schedule your private tour today!",3,,,
"Set on an expansive three-quarter-acre lot, this newly finished Traditional estate is a masterpiece of scale and sophistication. Spanning nearly 11,000 square feet, every detail has been thoughtfully crafted to balance elegance with livability. From lavish entertaining spaces to intimate corners for everyday comfort, the home effortlessly merges classic design with contemporary luxury.  The formal living room, centered around a striking marble fireplace and wine bar, flows gracefully into the dining room, where a retractable glass wall creates a seamless connection to the outdoors. The chef's kitchen is a vision of refinement, featuring marble countertops, Sub-Zero and Wolf appliances, and a coffee bar. It extends into the family room, complete with a wet bar, and opens to a covered outdoor deck-creating an effortless setting for entertaining. The main level also includes a private office, guest suite, and elevator providing convenient access to both floors. Upstairs, five ensuite bedrooms offer tranquil retreats, highlighted by the primary suite with a sun-filled private balcony and a spa-inspired bath featuring a steam shower, soaking tub, and generous dressing areas. Additional amenities include a gym, lounge, home theater, and both first- and second-floor laundry. The estate's outdoor spaces are designed for resort-style experience anchored by a sparkling pool and spa, a sport court, and a heated entertaining pavilion, complemented by an outdoor kitchen, firepit lounge, and impeccably manicured lawns-all embraced by mature hedges for ultimate privacy. A detached two-story guest house offers exceptional versatility, featuring a living room, kitchenette, powder room, and an upper-level bedroom suite with a private balcony-ideal for visiting guests, staff, or creative use. Enhanced by a state-of-the-art home automation system, three-car garage, and charming cobblestone motor court tucked behind private gates, this Brentwood estate is a rare expression of timeless elegance and contemporary luxury.",,,,11000
"Experience refined desert living in this exceptional mid-century inspired residence, a true expression of the iconic desert aesthetic. Ideally located within the prestigious Thunderbird Country Club, 40225 Sand Dune is perfectly positioned along the 13th hole with panoramic mountain, lake and golf course views.Architecturally striking, the residence features vaulted ceilings and dramatic walls of glass that flood the interiors with natural light while seamlessly blending indoor and outdoor living. The beautifully curated living room is both sophisticated and inviting, complete with a stylish sunken bar--ideal for effortless entertaining. Owned solar and tesla powerwalls add energy efficiency to the whole home.Featuring four spacious bedrooms and four bathrooms, the thoughtfully designed layout offers ideal separation, including three en-suite guest rooms and a private primary retreat. The primary suite serves as a true sanctuary, showcasing picturesque views of the lush backyard, rolling fairways, serene lake, and iconic desert mountains beyond.Step outside to a resort-style backyard featuring an expansive pool and spa, along with multiple seating areas perfectly positioned to relax, entertain, and take in the breathtaking scenery.A rare opportunity to own a truly remarkable home in one of Rancho Mirage's most prestigious communities.",,,,
"Enjoy low-maintenance living in this charming 1-bedroom, 1-bath condo located in the desirable Sheridan Commons community. With access to a community pool and an homeowners association that covers water, sewer, trash, and exterior grounds maintenance, this is an ideal option for easy living. Centrally located with quick access to Highway 99, shopping, medical facilities, and schools, convenience is at your doorstep. This upstairs unit features a private balcony overlooking the pool and beautifully maintained grounds, plus in-unit laundry with washer and dryer included. The functional layout offers a comfortable living space with a dining area just off the kitchen, making it the perfect place to call home. This condo also includes one designated parking space for added convenience.",1,,,
"Welcome to 3 Clancy Lane S, a fully custom Mediterranean-modern estate in the heart of Rancho Mirage. Offered fully furnished, this 4-bedroom, 6-bathroom residence plus private office presents a rare turnkey opportunity. Thoughtfully redesigned from top to bottom, the home blends timeless architecture with refined modern finishes, highlighted by extensive custom stonework, white oak bespoke cabinetry, and statement designer lighting throughout. Soaring ceilings, exposed beams, expansive walls of glass, and limestone floors create a sense of scale while maintaining warmth and cohesion. The floor plan balances elegance and comfort, featuring formal living and dining spaces, relaxed lounge areas, and a striking chef's kitchen anchored by a dramatic stone island, slab backsplash, custom cabinetry, and premium appliances. The primary suite is a private retreat with a fireplace, statement lighting, and dual spa-style bathrooms, while each guest bedroom offers its own beautifully appointed ensuite. Outside, the grounds unfold like a private resort--complete with a stunning pool and spa, Baja shelf loungers, expansive patios, and secluded lounge areas framed by mature landscaping. Fully custom, fully furnished, and truly turnkey, 3 Clancy Lane S is a rare estate offering in one of Rancho Mirage's most coveted locations. Call the listing agent for your private showing today!",4,6,,
"Charming and well-loved this 3 bed 2 bath home is in a highly desirable neighborhood with an ideal layout for everyday living and entertaining.  This property features newly refinished real hardwood flooring, fresh interior paint, custom shutters and timeless charm throughout.  The thoughtful floor plan includes a spacious primary suite with an en-suite bathroom, along with two additional bedrooms that provide flexibility for family, guests or home office.  The large family room with soaring open beam ceilings is right off the kitchen.  It opens seamlessly to the backyard, creating a true indoor-outdoor living experience.  Step outside to a covered patio that spans the width of the home, (almost 27 feet) perfect for gatherings.  Just beyond the covered patio is  an adorable free standing pergola that adds charm and function for outdoor dining events.  Additional highlights include a detached two car garage with finished walls and a built-in-workbench making it a versatile and functional space.  The property offers abundant storage, a long driveway for extra parking and gated entrance for added privacy.  Generously sized grassy backyard with mature crepe myrtle shade trees that have gorgeous trunks.  .  Ideally located within walking distance to Bret Harte Elementary School, and Luther Burbank Middle School, this home combines comfort, convenience, and community. Updated HVAC in 2024.  Fireplace is decorative",3,2,,
"Welcome to lakeview living with this beautiful two-story home featuring a bright, open floor plan designed for both everyday comfort and effortless entertaining. The spacious main living areas flow seamlessly together, showcasing serene lake views and an inviting atmosphere throughout. Enjoy relaxing mornings, peaceful evenings, and year-round enjoyment from your own lakeside setting. With generous living space, thoughtful design, and a location that captures the beauty of waterfront living, this home offers the perfect blend of comfort, style, and tranquility.

Stories count is different than tax records, buyer to verify if important.",,,,
"Malibu Resort-Style Ocean View Townhome Beautiful 3BD/3BA Mediterranean townhome in the desirable gated Vista Pacifica community, just above Broad Beach. Offering approximately 2064 square feet, this light-filled home features soaring ceilings, an open floor plan, fireplace, and private ocean-view patio. The gourmet kitchen flows into the dining and living areas, ideal for entertaining. Upstairs, the primary suite includes a fireplace, walk-in closet, spa-style bath, and private balcony with breathtaking sunsets. Two additional bedrooms provide space for guests or a home office. Enjoy resort-style amenities including pool, spa, fitness center, and clubhouse. Minutes to Broad Beach, Zuma Beach, and Trancas Country Market.",3,3,,2064
"Brand new construction in the heart of Menifee within walking distance to the Menifee Town Center. Welcome to Riverwalk Village at Town Center, a collection of 198 single family detached condominium homes. This Novato plan is highly appointed with White Cabinetry, quartz kitchen countertops in ""Miami Oro""  withfull tile backsplash, professional vent hood over an induction cooktop, a combination of wood laminate flooring & carpet, tile in all bathrooms and a covered patio.  Resident will enjoy this gated community which includes a Clubhouse withfitness center, pool and heated spa.  This home will be move in ready in March, 2025.",,,,
"Two new single family houses with 4,820 square feet gross building area on a 18,307 square feet flat lot locate in the center of Fontana.",,,,4820
"Rare Opportunity with a Brand-New Permitted ADU in the Highly Sought-After Torrance School District. Located at 2472 West 237th Place, this thoughtfully upgraded property offers the perfect blend of modern living, flexibility, and investment potential. The beautifully remodeled front home features 3 bedrooms and 1 bathroom across 924 square feet, highlighted by a light-filled living room and an updated kitchen with granite countertops and contemporary finishes. Complementing the main residence is a newly constructed, fully permitted 1-bedroom, 1-bathroom ADU (372 square feet, plus dedicated laundry area) with its own private entrance, full kitchen, washer/dryer hookups, and separate address (2476 W 237th Place), creating an ideal setup for rental income, multigenerational living, or a private workspace. Together, the property offers 1296 square feet of total living space with 4 bedrooms and 2 bathrooms. The expansive backyard is designed for both relaxation and entertaining, featuring mature fruit trees, lush landscaping, and ample room for gatherings of any size. Conveniently situated near popular shopping, dining, Del Amo Fashion Center, and Torrance Memorial Hospital. This move-in-ready home presents a rare opportunity to own a versatile property in one of Torrances most desirable neighborhoods.",3,1,,924
"Discover timeless style and endless potential in this charming mid-century home located in the heart of Garden Grove. This beautifully maintained 3-bedroom, 2-bathroom residence offer 1479 square feet of living space plus an expansive 420 square feet sunroom perfect for entertaining, relaxing, or creating the ideal home office. Situated on a large, manicured lot, the property combines privacy, curb appeal, and classic California charm. Inside, you will find gleaming hardwood floors, iconic mid-century architectural details, and a warm, functional floor plan filled with natural light and character. 



   the spacious sunroom overlooks a lush backyard, creating the perfect indoor-outdoor living experience. Whether you appreciate vintage charm or are looking for a home with incredible potential to update and personalize, this property offers a rare opportunity to make it your own. With mature landscaping, generous outdoor space, and timeless appeal, this garden Grove gem captures the essence of classic California living. Don't miss your chance to own a true mid-century treasure!",3,2,,1479
"Unbelievable property! One-of-a-kind custom single-story home set on a rare, level -acre usable lot. This exceptional home offers a spacious living room with a picturesque window, a separate dining room, and an open kitchen/family room comboperfect for everyday living and entertaining. Featuring 4 generously sized bedrooms and indoor laundry, the oversized primary suite includes a sliding door to a covered patio, a large bathroom with a soaking tub, separate shower, and a walk-in closet. The beautifully remodeled kitchen is filled with natural light, and the family room showcases a stunning stone fireplace with a gas starter.  Step outside to an incredible backyard designed for enjoymentfeaturing a huge patio area, in-ground pool, expansive lawn, basketball court, fire pit area, large side yard, and two Tuff Sheds. Enjoy your own fruit trees including lemon, apricot, apple, and nectarine. With ample space to add an ADU or build a large shop, the possibilities are endless.  This home has been meticulously maintained with major upgrades including a new roof, new siding and paint (2025), HVAC system with insulation and ducting (2023), remodeled kitchen and bathrooms (2019), and newer fencing (approx. 5 years). The oversized 3-car garage is an added bonus, complete with a HDTV 120-inch projector screenperfect for movie nights or watching your favorite sporting events.  All this just minutes from charming downtown Claytonthis is truly a rare find!  Open House Schedule:  - Saturday (6/13) - 1 - 4 pm - Sunday (6/14) - 2 - 4 pm",,,,
"This extraordinary Almaden Valley estate offers an unparalleled blend of luxury, space, and breathtaking panoramic views that stretch across the surrounding hills and valley. Set on over 2.5 acres, this impressive 7158 square feet architectural masterpiece seamlessly brings the outdoors in, with expansive windows and multiple balconies that showcase the scenery from nearly every room. The thoughtfully designed interior boasts elegant living spaces, a gourmet chefs kitchen with high-end appliances, and inviting areas for both relaxation and entertaining including a sauna, media room, game room, and an expansive bonus space ideal for an in-law suite. The luxurious primary retreat offers a serene escape with a spa-inspired bath and oversized walk-in closet, while the beautifully landscaped grounds feature an outdoor kitchen, pergola, fire pit, and hot tub perfect for enjoying peaceful evenings under the stars. Complete with modern amenities such as solar, Tesla charging, and a four-car garage with workshop, this exceptional home delivers refined living in a truly spectacular setting. Laundry rooms upstairs and downstairs. Close to trails, shopping, easy access to major freeways. Graystone, Bret Harte and Leland Schools.",,,,7158
"Home of the Month with a big price correction!!Altair at University park! this plan one offer a single story home with 3 bedrooms, 2 full baths, and is Available now! Designed for the way you live today. This brand-new, energy-efficient residence welcomes you with a bright, open-concept layout featuring a spacious great room that flows seamlessly into a beautifully appointed kitchen with a grand island--perfect for gathering, entertaining, and everyday living. Step outside from the dining area into your own expansive backyard, ideal for relaxing evenings or weekend get-togethers.The thoughtfully designed floorplan includes an expansive primary suite for your own private retreat, along with two versatile secondary bedrooms--perfect for family, guests, or even a home office.Located in the highly desirable Altair at University Park in Palm Desert, this exceptional single-story home showcases elevated finishes, generous outdoor space, included KitchenAid stainless steel appliances, and stylish whole-home blinds for added comfort and convenience.Set within the renowned University Park master-planned community, you'll enjoy access to resort-style amenities and be just moments from premier golf courses, upscale shopping, and vibrant entertainment.Built with innovative, energy-efficient features, this home is crafted to deliver lasting comfort, improved wellness, and meaningful savings--so you can truly enjoy peace of mind every day.  For several years Meritage Homes has been a Top 10 home builder according to Builder's Top 100 Home Builder rankings! Window coverings, Washer, dryer and fridge, vinyl plank flooring throughout All Included!!!",3,2,,
"Warm, inviting, and impeccably maintained, this North Arcadia cul de sac home is being offered for the first time in over 55 years by its original owner. Featuring 5 bedrooms and timeless architectural details throughout, this exceptional residence blends comfort, functionality, and classic charm in a prime centrally located neighborhood. A grand double-door entry welcomes you into the dramatic sunken living room highlighted by soaring vaulted ceilings, a stunning floor-to-ceiling fieldstone fireplace, and custom built-in bookshelves. The formal dining room offers elegant entertaining space with high ceilings and beautiful side yard views. The spacious kitchen overlooks the lush backyard and is equipped with a refrigerator, dishwasher, microwave, cooktop, and double ovens. Sliding glass doors create seamless indoor-outdoor flow to the patio and garden areas. Adjacent to the kitchen, the expansive family room features a wet bar and additional sliding doors opening to the backyard, perfect for gatherings and everyday living. The flexible floor plan includes a downstairs bedroom and full bath, ideal for guests, multigenerational living, or a private home office. Upstairs, four generously sized bedrooms include a spacious primary suite with two walk-in closets, a built-in workspace, cozy sitting area, and private bath with dual sinks. Step outside to a serene backyard retreat with mature fruit trees, manicured lawn areas, and expansive patios with retractable awnings for year-round enjoyment. Additional highlights include a spacious 3-car garage with extensive built-in storage and laundry area. Lovingly cared for and filled with decades of treasured memories, this special home offers a rare opportunity to own in the award-winning Arcadia Unified School District.",5,,,
"Luxury Gated Aliento Retreat with Mountain Views, Paid Off Solar and Designer Upgrades Throughout. This beautifully maintained 4 bedroom, 3 bathroom home offers the perfect blend of lifestyle, comfort, and modern design with a spacious open concept floorplan and breathtaking mountain and community views from nearly every room. Step inside and experience soaring 20 foot ceilings, abundant natural light, custom shiplap accent walls, recessed lighting, shutters throughout, and attention to detail at every turn. The gourmet style kitchen is truly the heart of the home featuring an oversized island, quartz countertops, custom stone backsplash, stainless steel appliances, ample cabinetry, and generous counter space perfect for entertaining and everyday living. The large primary suite offers a true retreat with an extended spa inspired bathroom complete with dual sinks, soaking tub, walk in shower, quartz countertops, and spacious walk in closet. Upstairs features a versatile loft and dedicated office space ideal for a second living room, media room, playroom, gym, or work from home setup. All secondary bedrooms are spacious with plush carpet, recessed lighting, and personal closets. Convenient upstairs laundry room and guest bathroom with dual sinks and quartz countertops complete the functional layout. Additional upgrades include paid off solar, new luxury vinyl plank flooring, quartz countertops throughout, plush carpet, and a spacious 3 car garage. The beautifully landscaped backyard was designed for both relaxation and entertainment featuring artificial turf, lush landscaping, extended covered California room, recessed lighting, stone pavers, and multiple producing fruit trees including apple, peach, lemon, orange, pear, and blueberry bushes. This private outdoor retreat offers the perfect balance of low maintenance luxury and peaceful outdoor living. Residents of Aliento enjoy resort style amenities including sparkling pools, spa, fitness center, clubhouse, parks, scenic walking trails, dog park, community gathering spaces, and nearby trailhead access with parking, restrooms, and drinking fountains. Conveniently located near shopping, dining, commuter access, and within walking distance to highly rated Golden Oak Community School. A rare opportunity to own a move in ready home that truly captures the best of Santa Clarita luxury living, indoor outdoor lifestyle, and modern comfort.",4,3,,
"Comfortable Living in Claremont's Shepherd Hills Community. Set in a secluded pocket of Northwest Claremont, this attached single family home offers a comfortable setting with a picturesque front yard that creates a sense of openness. The approach is attractive and inviting, reflecting the calm feel of the neighborhood. Upon entry, natural light carries through the main living areas featuring new interior paint and carpet. The living room is well proportioned and centered around a fireplace that defines the space. A reading nook looks out toward the front yard, offering a relaxed place to sit. Adjacent to the living room is the formal dining room, with direct access to the kitchen and attractive French doors leading outdoors. The kitchen is designed with function in mind, featuring stainless steel appliances, tile countertops, a detailed backsplash, and generous cabinet storage. The kitchen is open to the adjoining family room creating a pleasant open layout, including space for a breakfast table. The home includes three bedrooms and two bathrooms. The primary suite features high ceilings and direct access to the backyard. Its en suite bathroom includes dual sinks and a shower set behind a pocket door for added privacy. The backyard is peaceful, private, and serene. Surrounded by natural greenery, it serves as a comfortable extension of the indoor living space. A pergola provides shaded seating, while the lush grassy lawn provides space for outdoor activities, and the storage shed is included. The layout allows for a variety of uses, including outdoor dining, casual seating, or a play space. Its size and configuration make it a practical outdoor area that can adapt to different needs.",,,,
"AMAZING MEDITERRANEAN-STYLE HOME IN NEWPORT RIDGE! Located in the highly desirable guard-gated Newport Ridge community, this spacious residence offers 6 bedrooms, 5.5 bathrooms, and an elegant floor plan designed for comfortable coastal living. A charming front garden welcomes you into the home. The main level features tile flooring, an upgraded kitchen with quartz countertops, a large kitchen island, Wolf cooktop, and a beautiful quartz backsplash. The living room opens through a white door to a private backyard featuring an Italian-style patio and built-in barbecue area, perfect for entertaining and social gathering. The first floor also includes a private suite with hardwood flooring, ideal for guests or multi-generational living. Upstairs, the split staircase creates excellent privacy. One side leads to a separate private suite with a full bathroom, ideal for guests, extended family, or flexible use. The main upstairs living area features four additional bedrooms with upgraded hardwood flooring throughout. The primary suite features a private balcony and a bright, elegant curved bay window nook with multiple casement windows, creating a refined, palace-like experience. It also offers a large upgraded walk-in closet and a spacious primary bathroom with quartz countertops and mosaic flooring. One secondary suite features a painted blue ceiling, while two additional bedrooms are connected by an interior door. Conveniently located near Newport Coast Shopping Center, Bonita Canyon Sports Parks, trails, Corona Del Mar beach. Don't miss such a rare opportunity to own a beautiful Mediterranean-style home in one of Newport Coasts most prestigious communities!",6,5.5,,
"Nestled among majestic pines, 1130 Vine Avenue offers a peaceful mountain retreat in Moonridge. This charming Gambrel-style cabin is the perfect escape - enjoy mornings breathing in the crisp air out on the back deck and evenings relaxing in the hot tub. The functional floor plan features a spacious living room with adjacent dining room, and well-appointed kitchen with newer tile backsplash, electric stove, and dishwasher. The luxurious bathroom is freshly painted, and has a newer vanity, toilet, and shower sliding doors. Upstairs, the two large bedrooms feature recently updated carpet and lighting, and beautiful vaulted ceilings. Numerous upgrades include: new tankless water heater, new privacy pergola over hot tub, new ADT security system, and exterior solar lighting. Located within the tranquility of nature while being minutes from local shops, dining, hiking trails, ski resorts, and the lake, this home is a perfect full-time residence, weekend getaway, or investment opportunity in a beloved mountain community.",,,,
"Nestled in the desirable Waterford complex, located on the 2nd floor, this nicely appointed Rosedown model offers timeless style and an exceptional array of amenities. The open-concept design features an updated kitchen with stainless steel appliances and granite countertops and a spacious living area boasting a cozy electric fireplace with built-ins that overlooks a beautiful tree-lined view across Tice Creek, thus creating a seamless flow and an inviting indoor-outdoor feel. Two lovely, light and bright generously sized bedrooms provide peaceful, private retreats. The primary bath has a new modern, marble-inspired shower while the half-bath includes an in-unit washer and dryer. The Waterford offers a vibrant lifestyle with a wide range of activities including card games, movie nights, exercise classes, social hours and more. There is a salon on the premises and the Tice Creek Fitness Center and Gateway Clubhouse bragging its many activities is just steps away. Residents can enjoy a daily meal in the charming dining room and benefit from weekly housekeeping services. Covered parking space #142 and a 3'x5' storage unit. Welcome Home!",,,,
"LIVE IN A WORLD CLASS CITY AND WALK INTO THE HEART OF THE CASTRO! 2811 Market Street is a 2-room studio condo   set in a 1922 Edwardian building with period charm.  Gated front entry from Market Street. This is a top floor, corner unit with tons of natural light from 3 sides.  The basement includes additional storage and a laundry facility, use of which is included in the homeowners association dues.   The updated kitchen includes stainless-steel appliances and maple cabinetry.  The unit includes hardwood floors and many original details.  Enjoy views of Eureka Valley to the West, Caselli Mansion to the South, all within a stones throw of the storied Castro District!  Walking distance to the Castro Theater, Castro Muni Station, Cliff's Variety Store, Corona Heights Park, Mission Dolores Park and much, much more.  Also included is a dedicated one car garage and ample street parking.  This unique unit feels like home from the moment you enter.  Open the back door and let the morning sunshine in.",,,,
"Mountain Modern Luxury at the Country Club.  ~  Escape to this stunning 2290 square feet retreat, perfectly positioned on over a third of an acre of usable, forested land. Located between the prestigious Lake Arrowhead Country Club, Golf Course and Grass Valley Park.  This home offers the ultimate blend of sophisticated updates and rugged mountain charm.  ~  The Home: Awesome ""Prow style"" that features level-entry!  Step into everyones favorite open floor plan, where the gourmet kitchen, dining, and living areas flow seamlessly together. Soaring two-story vaulted and beamed ceilings and floor-to-ceiling windows with remote-control solar shades flood the space with natural light, framing serene forest views. Every inch has been thoughtfully updated, including modern flooring, designer baths, and expansive new decks perfect for entertaining.  ~ The Layout: Upper Level: A dedicated sanctuary. The entire top floor is a private Master Retreat, offering unmatched scale and comfort. 

Main Level: Features a guest-friendly bedroom and full bath for easy living.  ~  The Garage: A rare 700 square feet attached space. At 38 feet deep, its a dream for boat storage, a workshop, or multiple vehicles AND extra nice driveway for parking for plenty of guests.  ~  The Lifestyle: Offered wonderfully furnished & decorated. Enjoy the convenience of a level-entry home on a county-maintained, plowed road with all public utilities and high-speed internet plus XL indoor laundry room, Central heat AND A/C, too! Youre just 5 minutes from the Lake Arrowhead Village and private lake access.  ~  ncludes Full Lake Rights.  ~  Experience the best of the mountain. Schedule your tour today!",,,,2290
"Your chance to own a RARE DOUBLE TERRACE UNIT WITH 3336 square feet of combined indoor and outdoor space. Welcome to one of the most unique, rare, and expansive residences at the iconic Coronado Shores! Thoughtfully created by combining two terrace units, this home offers 2,261 square feet of interior living space and an additional 1,075 square feet of private terrace. The layout provides rare flexibility, ideal for hosting extended family, accommodating guests with privacy, or enjoying generous space for everyday living. The residence features two full kitchens, a gracious primary suite with a private retreat and oversized picture window, and seamless indoor-outdoor flow to an expansive ground-level terrace. Just steps from the pool, beach club, and direct sand access, the home allows you to enjoy the best of coastal living with ease, no lobby or elevator required. The unit also includes a rare parking space with a dedicated 110V outlet, allowing residents to charge electric vehicles, e-bikes, golf carts, and other devicesan uncommon and highly desirable feature at the Shores. Offered fully furnished, this is a rare opportunity to own a large-format residence within one of Southern Californias most desirable beachfront communities. This unit is located in the centrally situated, oceanfront Las Palmas Tower. Residents can enjoy an exceptional range of amenities, including 4 oceanfront pools, 7 tennis courts, 2 pickleball courts, a fully equipped fitness center, saunas, indoor jacuzzis, and an on-site event venue. The community also features 32 acres of prime beachfront,",,,,3336
"Charming cabin with high-pitched roof in the Lake Arrowhead Villa neighborhood. Easy to get to, yet located in a private area near the top of a hill with plenty of huge, mature trees. The cabin is very welcoming with the bright-blue painted front door and the real warm wood featured on the inside. There is a skylight in the entry area that brings in plenty of natural light. Beautiful stone fireplace in the living room. Stairs lead up to two bedrooms with one bedroom that has a balcony. Great place to glamp with your friends, BBQ and explore all that Lake Arrowhead has to offer.",,,,
"Prime Mar Vista location between Sawtelle and McLaughlin, close to Windward School and the coming soon Whole Foods Market. Extensively remodeled and truly one of a kind. Not another fixed-up home done for a quick flip. The current owner took years planning this home for their own use, and now there is a change of plans.5 bedrooms or 4 plus office. 4.5 baths. Can be used as one large home or as a home with separate ADU. The entertaining flow is spectacular with living room, breakfast dining, and formal dining room as well. Rooms are extremely versatile and can be used as playroom, family room, office, or guest space. The seamless flow to a lovely private yard, all on one level, makes this home ideal for someone whose lifestyle prefers to avoid steps and narrow passageways. Amazingly open and free-flowing with all good-sized rooms throughout. Additional feature includes a soundproof room with soundproofing built into the floor as well, ideal for musicians, recording, content creation, or privacy with clients/patients. If you've been waiting for a really nice one-story home with strong square footage in Mar Vista, look no further.",5,4.5,,
